Short Name,Long Name,Units,GSN Name,
Evap_tavg,total_evapotranspiration,kg m-2 s-1,land_surface_water__evapotranspiration_mass_flux,
LWdown_f_tavg,surface_downwelling_longwave_flux_in_air,W m-2,land_surface_air_radiation~longwave~downwelling__energy_flux,
Lwnet_tavg,surface_net_downward_longwave_flux,W m-2,land_surface_air_radiation~longwave~downward__energy_flux,
Psurf_f_tavg,surface_air_pressure,Pa,land_surface_air__pressure,
Qair_f_tavg,specific_humidity,kg kg-1,atmosphere_air_water~vapor__specific_saturation,
Qg_tavg,downward_heat_flux_in_soil,W m-2,soil__downward_heat_energy_flux,
Qh_tavg,surface_upward_sensible_heat_flux,W m-2,land_surface__upward_sensible_heat_energy_flux,
Qle_tavg,surface_upward_latent_heat_flux,W m-2,land_surface__upward_latent_heat_energy_flux,
Qs_tavg,surface_runoff_amount,kg m-2 s-1,land_surface_water__runoff_mass_flux,
Qsb_tavg,subsurface_runoff_amount,kg m-2 s-1,land_subsurface_water__runoff_mass_flux,
RadT_tavg,surface_radiative_temperature,K,land_surface__effective_radiative_temperature,
Rainf_f_tavg,rainfall_flux,kg m-2 s-1,atmosphere_water__rainfall_mass_flux,
SM01_Percentile,soil moisture percentiles,%,soil_water__volume_fraction,
SWdown_f_tavg,surface_downwelling_shortwave_flux_in_air,W m-2,land_surface_air_radiation~shortwave~downwelling__energy_flux,
SoilMoi00_10cm_ta,soil_moisture_content,m^3 m-3,land_surface~0-to-10cm-below_soil_water__volume_fraction,
SoilMoi100_200cm_,soil_moisture_content,m^3 m-3,land_surface~100-to-200cm-below_soil_water__volume_fraction,
SoilMoi10_40cm_ta,soil_moisture_content,m^3 m-3,land_surface~10-to-40cm-below_soil_water__volume_fraction,
SoilMoi40_100cm_t,soil_moisture_content,m^3 m-3,land_surface~40-to-100cm-below_soil_water__volume_fraction,
SoilTemp00_10cm_t,soil_temperature,K,land_surface~0-to-10cm-below_soil__temperature,
SoilTemp100_200cm,soil_temperature,K,land_surface~100-to-200cm-below_soil__temperature,
SoilTemp10_40cm_t,soil_temperature,K,land_surface~10-to-40cm-below_soil__temperature,
SoilTemp40_100cm_,soil_temperature,K,land_surface~40-to-100cm-below_soil__temperature,
Swnet_tavg,surface_net_downward_shortwave_flux,W m-2,land_surface_air_radiation~shortwave~downward__energy_flux,
Tair_f_tavg,air_temperature,K,air__temperature,
Wind_f_tavg,wind_speed,m s-1,wind__speed,